periodo,banco_original,banco_normalizado,indicador,valor,unidad,archivo_origen,hoja_origen,fila_origen_excel,columna_origen_excel
2015-02,BP MACHALA,BP MACHALA,morosidad_total,2.671882803188737,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,14
2015-02,BP CITIBANK,BP CITIBANK,morosidad_total,1.6756334428735952e-05,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,15
2015-02,BP LOJA,BP LOJA,morosidad_total,3.8832853348625926,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,16
2015-02,BP PROCREDIT,BP PROCREDIT,morosidad_total,3.599823851306134,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,17
2015-02,BP AMAZONAS,BP AMAZONAS,morosidad_total,5.652358363003239,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,19
2015-02,BP COFIEC,BP COFIEC,morosidad_total,87.50430107960499,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,20
2015-02,BP COMERCIAL DE MANABI,BP COMERCIAL DE MANABI,morosidad_total,6.010261684800345,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,21
2015-02,BP LITORAL,BP LITORAL,morosidad_total,11.849112179416425,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,22
2015-02,BP COOPNACIONAL,BP COOPNACIONAL,morosidad_total,0.37588483859172334,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,23
2015-02,BP CAPITAL,BP CAPITAL,morosidad_total,7.9544092512789,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,24
2015-02,BP FINCA,BP FINCA,morosidad_total,6.5613141673515525,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,25
2015-02,BP DELBANK,BP DELBANK,morosidad_total,6.213564486785941,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,26
2015-02,BP D-MIRO S.A.,BP D-MIRO S.A.,morosidad_total,6.005200056795004,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,27
2015-02,BP BANCODESARROLLO,BP BANCODESARROLLO,morosidad_total,6.164210483814462,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,28
2015-02,BP GUAYAQUIL,BP GUAYAQUIL,roe,11.126917727828536,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,4
2015-02,BP PACIFICO,BP PACIFICO,roe,9.617102117789756,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,5
2015-02,BP PICHINCHA,BP PICHINCHA,roe,10.205043760448957,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,6
2015-02,BP PRODUBANCO,BP PRODUBANCO,roe,7.753672087254201,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,7
2015-02,BP AUSTRO,BP AUSTRO,roe,7.297750531935768,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,9
2015-02,BP BOLIVARIANO,BP BOLIVARIANO,roe,12.064456177585765,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,10
2015-02,BP SOLIDARIO,BP SOLIDARIO,roe,4.699042261451991,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,11
2015-02,BP GENERAL RUMIÑAHUI,BP GENERAL RUMINAHUI,roe,20.823773684781074,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,12
2015-02,BP INTERNACIONAL,BP INTERNACIONAL,roe,11.326129627568545,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,13
2015-02,BP MACHALA,BP MACHALA,roe,5.6590407408352315,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,14
2015-02,BP CITIBANK,BP CITIBANK,roe,11.770894955580378,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,15
2015-02,BP LOJA,BP LOJA,roe,10.387774726537454,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,16
2015-02,BP PROCREDIT,BP PROCREDIT,roe,5.312995552139487,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,17
2015-02,BP AMAZONAS,BP AMAZONAS,roe,5.934339982678309,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,19
2015-02,BP COFIEC,BP COFIEC,roe,-32.01914614445997,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,20
2015-02,BP COMERCIAL DE MANABI,BP COMERCIAL DE MANABI,roe,0.6420429664705952,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,21
2015-02,BP LITORAL,BP LITORAL,roe,4.205340025184292,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,22
2015-02,BP COOPNACIONAL,BP COOPNACIONAL,roe,11.000513684326227,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,23
2015-02,BP CAPITAL,BP CAPITAL,roe,0.6507634361307117,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,24
2015-02,BP FINCA,BP FINCA,roe,-32.09632633233548,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,25
2015-02,BP DELBANK,BP DELBANK,roe,-0.49439806502891254,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,26
2015-02,BP D-MIRO S.A.,BP D-MIRO S.A.,roe,10.95120904974561,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,27
2015-02,BP BANCODESARROLLO,BP BANCODESARROLLO,roe,14.517626201775688,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,42,28
2015-02,BP GUAYAQUIL,BP GUAYAQUIL,indice_capitalizacion_neto,8.19331437354442,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,4
2015-02,BP PACIFICO,BP PACIFICO,indice_capitalizacion_neto,10.393331272910093,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,5
2015-02,BP PICHINCHA,BP PICHINCHA,indice_capitalizacion_neto,8.33050649713176,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,6
2015-02,BP PRODUBANCO,BP PRODUBANCO,indice_capitalizacion_neto,7.048980198757546,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,7
2015-02,BP AUSTRO,BP AUSTRO,indice_capitalizacion_neto,7.808394660247286,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,9
2015-02,BP BOLIVARIANO,BP BOLIVARIANO,indice_capitalizacion_neto,7.367602531161347,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,10
2015-02,BP SOLIDARIO,BP SOLIDARIO,indice_capitalizacion_neto,14.661038538563487,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,11
